PID,SMILES
PID00410,*/C(C)=C(/*)[Si](C)(C)C(C)C
PID00411,*/C(C)=C(/*)[Si](C)(C)c1ccccc1
PID00412,*/C(C)=C(/*)c1ccc([Si](C)(C)C)cc1
PID00413,*CC(*)CNc1ccc([N+](=O)[O-])cc1
PID00414,*CC(*)CNc1ccc([N+](=O)[O-])cn1
PID00415,*CC(*)CNc1ccc([N+](=O)[O-])cc1C
PID00416,*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
PID00417,*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
PID00418,*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1
PID00419,*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1
PID00420,*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*
PID00421,*CC(*)n1ccnc1
PID00422,*CC(*)OC(=O)CCCCCCCCCCCCCCCCCCCCC
PID00423,*CC(*)OCCCCCCCCCCCCCCCCCC
PID00424,*CC(*)OC(=O)c1ccc(C#N)cc1
PID00425,*CC/C=C(/*)[Sn](CCCC)(CCCC)CCCC
PID00426,*CC(*)OCC(C)(C)CC(C)C
PID00427,*C(F)(F)C(*)(F)OC(F)C(F)F
PID00428,*CC(*)C(=O)c1ccc(Br)cc1
PID00429,*CC(*)OC(=O)CC1CCCC1
PID00430,*CC(*)N1CCCC1=O
PID00431,*CCC1CC2C(CC(*)C2OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1
PID00432,*CC(*)C(=O)O
PID00433,*CC(*)C(=O)OC
PID00434,*CC(*)C(=O)OCC
PID00435,*CC(*)C(=O)OCCC
PID00436,*CC(*)C(=O)OC(C)C
PID00437,*CC(*)C(=O)OCCCC
PID00438,*CC(*)C(=O)OCC(C)C
PID00439,*CC(*)C(=O)OC(C)CC
PID00440,*CC(*)C(=O)OC(C)(C)C
PID00441,*CC(*)C(=O)OCCCCCC
PID00442,*CC(*)C(=O)OCCCCCCC
PID00443,*CC(*)C(=O)OCCCCCCCC
PID00444,*CC(*)C(=O)OCCCCCCCCCCCC
PID00445,*CC(*)C(=O)OCCCCCCCCCCCCCC
PID00446,*CC(*)C(=O)OCCCCCCCCCCCCCCCC
PID00447,*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC
PID00448,*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC
PID00449,*CC(*)C(=O)OCC=C
PID00450,*CC(*)C(=O)OC1CC2CCC1(C)C2(C)C
PID00451,*CC(*)C(=O)OCC(F)(F)F
PID00452,*CC(*)C(=O)OCC(F)(F)C(F)(F)F
PID00453,*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F
PID00454,*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F
PID00455,*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl
PID00456,*CC(*)C(=O)OC(F)(C(F)(F)Cl)C(F)(F)Cl
PID00457,*CC(*)C(=O)OCC(F)(F)C(F)C(F)(F)F
PID00458,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F
PID00459,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PID00460,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PID00461,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PID00462,*CC(*)C(=O)OCCOC
PID00463,*CC(*)C(=O)OCCOCC
PID00464,*CC(*)C(=O)OCCCOC
PID00465,*CC(*)C(=O)OCCCOCC
PID00466,*CC(*)C(=O)OCCOCC(F)(F)F
PID00467,*CC(*)C(=O)OCCOC(F)(F)C(F)F
PID00468,*CC(*)C(=O)OCCOCC(F)(F)C(F)(F)C(F)(F)F
PID00469,*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F
PID00470,*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F
PID00471,*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
PID00472,*CC(*)C(=O)OCCCCCOC(F)(C(F)(F)F)C(F)(F)F
PID00473,*CC(*)C(=O)OCCCCCCCCCCCOC(F)(C(F)(F)F)C(F)(F)F
PID00474,*CC(*)C(=O)OCCN(CCC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PID00475,*CC(*)(C)C(=O)O
PID00476,*CC(*)(C)C(=O)OC
PID00477,*CC(*)(C)C(=O)OCC
PID00478,*CC(*)(C)C(=O)OCCC
PID00479,*CC(*)(C)C(=O)OC(C)C
PID00480,*CC(*)(C)C(=O)OCCCC
PID00481,*CC(*)(C)C(=O)OC(C)CC
PID00482,*CC(*)(C)C(=O)OCC(C)C
PID00483,*CC(*)(C)C(=O)OC(C)(C)C
PID00484,*CC(*)(C)C(=O)OCCCCCC
PID00485,*CC(*)(C)C(=O)OCCCCCCCC
PID00486,*CC(*)(C)C(=O)OCCCCCCCCCCCC
PID00487,*CC(*)(C)C(=O)OCCCCCCCCCCCCCC
PID00488,*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCC
PID00489,*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC
PID00490,*CC(*)(C)C(=O)OC1CCCCC1
PID00491,*CC(*)(C)C(=O)OC1CCCCC1C
PID00492,*CC(*)(C)C(=O)OC1CCC(C)CC1
PID00493,*CC(*)(C)C(=O)OC1CCCC(C)C1
