PID,SMILES
P030112,*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1
P030113,*CC(*)OC(=O)c1ccccc1Cl
P030114,*CC(*)OC(=O)c1cccc(Cl)c1
P030115,*CC(*)OC(=O)c1ccc(Cl)cc1
P030116,*CC(*)OC(=O)C1CCCCC1
P030117,*CC(*)OC(=O)CC1CCCCC1
P030118,*CC(*)OC(=O)CCCC1CCCCC1
P030120,*CC(*)OC(=O)c1ccc(OCC)cc1
P030121,*CC(*)OC(=O)c1ccc(CC)cc1
P030122,*CC(*)OC(=O)C(C)(CC)C(C)(C)C
P030123,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F
P030124,*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
P030125,*CC(*)NC(=O)OC(C)(C)C
P030126,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
P030127,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
P030128,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
P030129,*CC(*)OC(=O)C(F)(F)C(F)(F)F
P030130,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
P030131,*CC(*)OC(=O)c1ccncc1
P030132,*CC(*)OC(=O)c1ccc(C(C)C)cc1
P030133,*CC(*)OC(=O)C(C)(C(C)C)C(C)C
P030134,*CC(*)OC(=O)c1ccccc1OC
P030135,*CC(*)OC(=O)c1cccc(OC)c1
P030136,*CC(*)OC(=O)c1ccc(OC)cc1
P030137,*CC(*)OC(=O)c1ccccc1C
P030138,*CC(*)OC(=O)c1cccc(C)c1
P030139,*CC(*)OC(=O)c1ccc(C)cc1
P030140,*CC(*)OC(=O)CC(C)(C)c1ccccc1
P030141,*CC(*)OC(=O)c1cccc([Si](C)(C)C)c1
P030142,*CC(*)OC(=O)c1ccc([Si](C)(C)C)cc1
P030143,*CC(*)OC(=O)C(C)(C)CCC
P030144,*CC(*)OC(=O)C(C)(C)C(C)(C)CC
P030145,*CC(*)OC(=O)C(C)(C)C(C)C(C)C
P030146,*CC(*)OC(=O)C(C)(C)CC(C)(C)C
P030147,*CC(*)OC(=O)c1cccnc1
P030148,*CC(*)OC(=O)c1cccc([N+](=O)[O-])c1
P030162,*CC(*)OC(=O)CCCCCCC
P030163,*CC(*)OC(F)(C(F)(F)F)C(F)(F)F
P030166,*CC(*)OC(=O)CCl
P030168,*CC(*)c1cccs1
P030169,*CC(*)[SiH2]CC
P030174,*CC(*)OCCCl
P030175,*CC(*)OCCOC
P030176,*CC(*)OCC(F)(F)F
P030177,*CC(*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC
P030178,*CC(*)OC(=O)C1CCCC1
P030179,*CC(*)OC(=O)C1(C)CCCCC1
P030180,*CC(*)P(=O)(c1ccccc1)c1ccccc1
P030181,*CC(*)P(=O)(OCC)N(C)C
P030182,*CC(*)P(=O)(Oc1ccccc1)N(C)C
P030183,*CC(*)c1nc(C)nc(C)n1
P030184,*CC(*)OC(=O)CCCCCCCCC
P030185,*CC(*)OC(=O)CCCCC
P030187,*C1Cc2ccccc2C1*
P030191,*CC(OC)C1C(=O)OC(=O)C1*
P030192,*CC(OC)C(C(=O)O)C(*)C(=O)O
P030193,*C#C/C(OS(=O)(=O)c1ccc(C)cc1)=C(/*)OS(=O)(=O)c1ccc(C)cc1
P030195,*CCC/C=C(/*)c1ccc(OC)cc1
P030196,*CCC/C=C(/*)c1ccccc1
P030197,*CCC/C=C(/*)c1ccc(Cl)cc1
P030198,*/C(C)=C(/*)[Si](C)(C)C
P030199,*/C(C)=C(/*)[Si](C)(C)CC
P030200,*/C(C)=C(/*)[Si](C)(C)CCC
P030201,*/C(C)=C(/*)[Si](C)(C)CCCC
P030202,*/C(C)=C(/*)[Si](C)(C)CCCCCCCC
P030203,*/C(C)=C(/*)[Si](C)(C)C(C)C
P030204,*/C(C)=C(/*)[Si](C)(C)c1ccccc1
P030205,*/C(C)=C(/*)c1ccc([Si](C)(C)C)cc1
P034237,*CC(*)CNc1ccc([N+](=O)[O-])cc1
P034238,*CC(*)CNc1ccc([N+](=O)[O-])cn1
P034239,*CC(*)CNc1ccc([N+](=O)[O-])cc1C
P034240,*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
P034241,*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
P034359,*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1
P034360,*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1
P034361,*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*
P034424,*CC(*)n1ccnc1
P034501,*CC(*)OC(=O)CCCCCCCCCCCCCCCCCCCCC
P034502,*CC(*)OCCCCCCCCCCCCCCCCCC
P034519,*CC(*)OC(=O)c1ccc(C#N)cc1
P034524,*CC/C=C(/*)[Sn](CCCC)(CCCC)CCCC
P034595,*CC(*)OCC(C)(C)CC(C)C
P034596,*C(F)(F)C(*)(F)OC(F)C(F)F
P034597,*CC(*)C(=O)c1ccc(Br)cc1
P034603,*CC(*)OC(=O)CC1CCCC1
P039005,*CC(*)N1CCCC1=O
P039028,*CCC1CC2C(CC(*)C2OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1
P040001,*CC(*)C(=O)O
P040002,*CC(*)C(=O)OC
P040003,*CC(*)C(=O)OCC
P040004,*CC(*)C(=O)OCCC
P040005,*CC(*)C(=O)OC(C)C
P040006,*CC(*)C(=O)OCCCC
P040007,*CC(*)C(=O)OCC(C)C
P040008,*CC(*)C(=O)OC(C)CC
P040010,*CC(*)C(=O)OC(C)(C)C
P040011,*CC(*)C(=O)OCCCCCC
P040012,*CC(*)C(=O)OCCCCCCC
P040013,*CC(*)C(=O)OCCCCCCCC
P040014,*CC(*)C(=O)OCCCCCCCCCCCC
P040015,*CC(*)C(=O)OCCCCCCCCCCCCCC
P040016,*CC(*)C(=O)OCCCCCCCCCCCCCCCC
P040017,*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC
P040018,*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC
P040019,*CC(*)C(=O)OCC=C
P040020,*CC(*)C(=O)OC1CC2CCC1(C)C2(C)C
P040021,*CC(*)C(=O)OCC(F)(F)F
P040022,*CC(*)C(=O)OCC(F)(F)C(F)(F)F
P040023,*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F
P040024,*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F
P040025,*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl
P040026,*CC(*)C(=O)OC(F)(C(F)(F)Cl)C(F)(F)Cl
P040027,*CC(*)C(=O)OCC(F)(F)C(F)C(F)(F)F
P040028,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F
P040030,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
P040031,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
P040032,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
P040034,*CC(*)C(=O)OCCOC
P040035,*CC(*)C(=O)OCCOCC
P040036,*CC(*)C(=O)OCCCOC
P040037,*CC(*)C(=O)OCCCOCC
P040038,*CC(*)C(=O)OCCOCC(F)(F)F
P040039,*CC(*)C(=O)OCCOC(F)(F)C(F)F
P040040,*CC(*)C(=O)OCCOCC(F)(F)C(F)(F)C(F)(F)F
P040041,*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F
P040042,*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F
P040043,*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
P040044,*CC(*)C(=O)OCCCCCOC(F)(C(F)(F)F)C(F)(F)F
P040045,*CC(*)C(=O)OCCCCCCCCCCCOC(F)(C(F)(F)F)C(F)(F)F
P040046,*CC(*)C(=O)OCCN(CCC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
P040047,*CC(*)(C)C(=O)O
P040048,*CC(*)(C)C(=O)OC
P040049,*CC(*)(C)C(=O)OCC
P040050,*CC(*)(C)C(=O)OCCC
P040051,*CC(*)(C)C(=O)OC(C)C
P040052,*CC(*)(C)C(=O)OCCCC
P040053,*CC(*)(C)C(=O)OC(C)CC
P040054,*CC(*)(C)C(=O)OCC(C)C
P040055,*CC(*)(C)C(=O)OC(C)(C)C
P040056,*CC(*)(C)C(=O)OCCCCCC
P040059,*CC(*)(C)C(=O)OCCCCCCCC
P040060,*CC(*)(C)C(=O)OCCCCCCCCCCCC
P040061,*CC(*)(C)C(=O)OCCCCCCCCCCCCCC
P040062,*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCC
P040063,*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC
P040064,*CC(*)(C)C(=O)OC1CCCCC1
P040066,*CC(*)(C)C(=O)OC1CCCCC1C
P040067,*CC(*)(C)C(=O)OC1CCC(C)CC1
P040068,*CC(*)(C)C(=O)OC1CCCC(C)C1
P040069,*CC(*)(C)C(=O)OC1CC(C)CC(C)(C)C1
P040071,*CC(*)(C)C(=O)Oc1ccccc1
P040072,*CC(*)(C)C(=O)Oc1ccccc1C
P040073,*CC(*)(C)C(=O)OCc1ccccc1
P040074,*CC(*)(C)C(=O)OCCc1ccccc1
P040080,*CC(*)(C)C(=O)Oc1ccc2ccccc2c1
P040081,*CC(*)(C)C(=O)OCCF
P040082,*CC(*)(C)C(=O)OCCCl
P040083,*CC(*)(C)C(=O)OCCBr
P040084,*CC(*)(C)C(=O)OCC(F)(F)F
P040085,*CC(*)(C)C(=O)OCC(F)(F)C(F)F
P040087,*CC(*)(C)C(=O)OC(C)C(F)(F)F
P040088,*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F
P040091,*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F
P040092,*CC(*)(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F
