SMILES,Cp,Molar Mass (g/mol)
*/C(C)=C(/*)[Si](C)(C)CC,1832.66,112.19
*/C(C)=C(/*)[Si](C)(C)CCC,1829.85,126.22
*/C(C)=C(/*)[Si](C)(C)CCCC,1827.6,140.24
*/C(C)=C(/*)[Si](C)(C)CCCCCCCC,1821.82,196.35
*/C(C)=C(/*)[Si](C)(C)C(C)C,1832.54,126.22
*/C(C)=C(/*)[Si](C)(C)c1ccccc1,1477.36,160.23
*/C(C)=C(/*)c1ccc([Si](C)(C)C)cc1,1522.23,174.26
*CC(*)CNc1ccc([N+](=O)[O-])cc1,1316.01,178.19
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,1378.87,192.22
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1357.19,246.19
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1337.68,223.19
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,1395.82,837.07
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,1415.13,459.61
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,1426.74,473.63
*CC(*)OC(=O)CCCCCCCCCCCCCCCCCCCCC,1736.9,366.61
*CC(*)OCCCCCCCCCCCCCCCCCC,1798.6,296.52
*CC(*)OC(=O)c1ccc(C#N)cc1,1179.33,173.17
*CC(*)OCC(C)(C)CC(C)C,1800.78,156.26
*C(F)(F)C(*)(F)OC(F)C(F)F,1478.65,180.06
*CC(*)C(=O)c1ccc(Br)cc1,1112.55,211.05
*CC(*)OC(=O)CC1CCCC1,1533.51,154.2
*CC(*)N1CCCC1=O,1481.98,111.14
*CCC1CC2C(CC(*)C2OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,1402.78,891.16
*CC(*)C(=O)O,1260.72,72.06
*CC(*)C(=O)OC,1507.29,86.09
*CC(*)C(=O)OCC,1549.33,100.11
*CC(*)C(=O)OCCC,1581.04,114.14
*CC(*)C(=O)OC(C)C,1584.02,114.14
*CC(*)C(=O)OCCCC,1605.81,128.17
*CC(*)C(=O)OCC(C)C,1608.46,128.17
*CC(*)C(=O)OC(C)CC,1608.46,128.17
*CC(*)C(=O)OC(C)(C)C,1615.41,128.17
*CC(*)C(=O)OCCCCCC,1642.0,156.22
*CC(*)C(=O)OCCCCCCC,1655.62,170.24
*CC(*)C(=O)OCCCCCCCC,1667.17,184.27
*CC(*)C(=O)OCCCCCCCCCCCC,1699.89,240.37
*CC(*)C(=O)OCCCCCCCCCCCCCC,1711.12,268.43
*CC(*)C(=O)OCCCCCCCCCCCCCCCC,1720.23,296.48
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,1727.76,324.53
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,1739.49,380.63
*CC(*)C(=O)OCC=C,1515.02,112.12
*CC(*)C(=O)OC1CC2CCC1(C)C2(C)C,1537.71,208.29
*CC(*)C(=O)OCC(F)(F)F,1454.99,154.09
*CC(*)C(=O)OCC(F)(F)C(F)(F)F,1450.37,204.1
*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F,1436.25,222.09
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,1426.54,240.08
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,1312.81,256.53
*CC(*)C(=O)OC(F)(C(F)(F)Cl)C(F)(F)Cl,1212.78,272.98
*CC(*)C(=O)OCC(F)(F)C(F)C(F)(F)F,1458.3,236.12
