PID,SMILES,Cp,No Zero Cp Group
P030144,*CC(*)OC(=O)C(C)(C)C(C)(C)CC,1515.17,True
P030145,*CC(*)OC(=O)C(C)(C)C(C)C(C)C,1513.27,True
P030146,*CC(*)OC(=O)C(C)(C)CC(C)(C)C,1515.17,True
P030148,*CC(*)OC(=O)c1cccc([N+](=O)[O-])c1,1120.6,True
P030162,*CC(*)OC(=O)CCCCCCC,1585.67,True
P030163,*CC(*)OC(F)(C(F)(F)F)C(F)(F)F,1066.37,True
P030166,*CC(*)OC(=O)CCl,1156.56,True
P030168,*CC(*)c1cccs1,1070.99,True
P030174,*CC(*)OCCCl,1272.22,True
P030175,*CC(*)OCCOC,1528.93,True
P030176,*CC(*)OCC(F)(F)F,1217.48,True
P030177,*CC(*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,1577.21,True
P030178,*CC(*)OC(=O)C1CCCC1,1454.96,True
P030179,*CC(*)OC(=O)C1(C)CCCCC1,1490.83,True
P030184,*CC(*)OC(=O)CCCCCCCCC,1617.03,True
P030185,*CC(*)OC(=O)CCCCC,1541.93,True
P030187,*C1Cc2ccccc2C1*,1165.26,True
P030191,*CC(OC)C1C(=O)OC(=O)C1*,1249.25,True
P030192,*CC(OC)C(C(=O)O)C(*)C(=O)O,1262.42,True
P030193,*C#C/C(OS(=O)(=O)c1ccc(C)cc1)=C(/*)OS(=O)(=O)c1ccc(C)cc1,989.67,True
P030195,*CCC/C=C(/*)c1ccc(OC)cc1,1329.84,True
P030196,*CCC/C=C(/*)c1ccccc1,1323.11,True
P030197,*CCC/C=C(/*)c1ccc(Cl)cc1,1181.65,True
P030198,*/C(C)=C(/*)[Si](C)(C)C,1647.21,True
P030199,*/C(C)=C(/*)[Si](C)(C)CC,1667.23,True
P030200,*/C(C)=C(/*)[Si](C)(C)CCC,1682.8,True
P030201,*/C(C)=C(/*)[Si](C)(C)CCCC,1695.26,True
P030202,*/C(C)=C(/*)[Si](C)(C)CCCCCCCC,1727.29,True
P030203,*/C(C)=C(/*)[Si](C)(C)C(C)C,1649.53,True
P030204,*/C(C)=C(/*)[Si](C)(C)c1ccccc1,1350.54,True
P030205,*/C(C)=C(/*)c1ccc([Si](C)(C)C)cc1,1380.14,True
P034237,*CC(*)CNc1ccc([N+](=O)[O-])cc1,1178.8,True
P034239,*CC(*)CNc1ccc([N+](=O)[O-])cc1C,1218.16,True
P034240,*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1111.53,True
P034241,*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1137.81,True
P034359,*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,1327.13,True
P034360,*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,1352.79,True
P034361,*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,1366.25,True
P034501,*CC(*)OC(=O)CCCCCCCCCCCCCCCCCCCCC,1704.41,True
P034502,*CC(*)OCCCCCCCCCCCCCCCCCC,1752.33,True
P034519,*CC(*)OC(=O)c1ccc(C#N)cc1,1101.54,True
P034595,*CC(*)OCC(C)(C)CC(C)C,1624.54,True
P034596,*C(F)(F)C(*)(F)OC(F)C(F)F,1048.56,True
P034597,*CC(*)C(=O)c1ccc(Br)cc1,801.25,True
P034603,*CC(*)OC(=O)CC1CCCC1,1487.01,True
P039005,*CC(*)N1CCCC1=O,1413.96,True
P039028,*CCC1CC2C(CC(*)C2OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,1338.48,True
P040001,*CC(*)C(=O)O,1262.11,True
P040002,*CC(*)C(=O)OC,1368.95,True
P040003,*CC(*)C(=O)OCC,1430.37,True
P040004,*CC(*)C(=O)OCCC,1476.7,True
